Rank,Name,Position,G,GS,IP,ifH,FC,PO,Ass,E,BBO,BBO%,F%,RF9,Range RAA,Err RAA,DP RAA,Bt RAA,Total RAA,/144,Team
1,김혜성,2B,30,30,261.2,17,0,59,106,4,110,80.9,97.6,5.68,6.78,-0.03,0.19,,6.94,29.40,KW
2,송성문,3B,26,23,201.2,10,1,17,39,0,41,73.2,100.0,2.50,2.82,0.72,-0.19,0.46,3.81,13.71,KW
3,고영우,2B,6,4,36.0,2,0,12,15,1,13,76.9,96.4,6.75,1.50,0.13,,,1.63,9.39,KW
4,송성문,2B,5,5,42.2,3,0,8,7,0,8,62.5,100.0,3.16,0.37,0.16,-0.19,,0.34,1.21,KW
5,김휘집,3B,9,6,53.0,5,0,2,9,0,6,16.7,100.0,1.87,-0.12,0.19,0.25,,0.32,1.17,KW
6,최주환,1B,28,27,241.1,14,0,227,12,1,159,90.6,99.6,8.91,0.17,0.10,,-0.01,0.25,1.18,KW
7,김주형,SS,2,1,8.0,1,0,1,0,0,1,0.0,100.0,1.13,-0.03,0.03,,,0.00,-0.10,KW
8,송지후,2B,1,0,3.0,1,0,0,0,0,0,,,0.00,-0.07,0.01,,,-0.06,-4.32,KW
9,김휘집,SS,33,29,252.1,18,0,38,78,5,80,71.3,95.9,4.14,-1.54,0.40,1.05,,-0.09,-0.34,KW
10,이승원,SS,2,1,9.0,1,0,3,3,1,7,71.4,85.7,6.00,0.09,0.03,-0.26,,-0.14,-6.51,KW
11,김태진,2B,2,1,11.0,2,0,2,4,1,7,57.1,85.7,4.91,-0.22,0.04,,,-0.18,-3.24,KW
12,이재상,SS,11,8,69.0,4,0,15,17,0,16,75.0,100.0,4.17,-0.89,0.25,-0.51,,-1.16,-15.13,KW
13,송성문,1B,8,2,31.0,3,0,25,1,0,18,83.3,100.0,7.55,-2.19,0.08,,,-2.12,-7.61,KW
14,고영우,SS,4,1,16.0,1,0,1,5,0,4,75.0,100.0,3.38,-2.07,0.06,-0.28,,-2.29,-13.19,KW
15,이원석,1B,11,11,82.0,8,0,81,4,2,63,84.1,97.7,9.33,-1.87,-0.80,,,-2.67,-14.22,KW
16,고영우,3B,16,11,99.2,10,0,9,17,1,17,35.3,96.3,2.35,-3.15,0.36,-0.06,-0.25,-3.11,-17.93,KW
