Rank,Name,Position,WAR, G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Team
1,오스틴,1B,1.68,43,185,183,158,26,50,8,1,10,90,29,4,1,22,2,2,36,3,0,3,0.316,0.400,0.570,0.970,0.083,159.6,LG
2,박동원,C,1.46,40,147,146,124,15,33,5,0,5,53,20,1,0,20,0,0,28,4,1,2,0.266,0.363,0.427,0.790,0.028,117.8,LG
3,문성주,LF,1.33,43,167,166,139,19,42,8,1,0,52,24,5,3,22,2,0,16,1,1,3,0.302,0.398,0.374,0.772,0.019,111.5,LG
4,홍창기,RF,1.28,40,178,178,144,26,42,1,2,2,53,15,5,1,30,4,1,29,4,0,0,0.292,0.427,0.368,0.795,0.035,123.5,LG
5,박해민,CF,0.84,43,182,180,159,26,45,5,2,1,57,18,22,3,14,3,0,36,2,2,4,0.283,0.344,0.358,0.702,-0.026,77.3,LG
6,구본혁,3B,0.79,35,79,79,69,11,22,4,0,1,29,14,1,1,8,1,0,6,1,0,1,0.319,0.392,0.420,0.812,0.031,120.7,LG
7,오지환,SS,0.74,41,148,147,127,23,30,10,1,2,48,10,9,3,18,2,0,43,1,1,0,0.236,0.340,0.378,0.718,-0.004,93.6,LG
8,김현수,DH,0.71,42,183,183,167,17,54,9,1,4,77,26,2,1,14,0,1,22,2,0,2,0.323,0.372,0.461,0.833,0.024,115.2,LG
9,신민재,2B,0.65,42,146,142,121,23,32,5,1,0,39,17,12,2,20,0,0,15,3,4,1,0.264,0.366,0.322,0.688,-0.012,88.1,LG
10,김범석,C,0.51,21,71,70,61,6,21,2,0,3,32,16,0,0,9,1,2,17,0,0,0,0.344,0.437,0.525,0.962,0.067,147.5,LG
11,안익훈,CF,0.10,4,7,7,6,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0.333,0.286,0.500,0.786,-0.027,76.3,LG
12,김현종,CF,0.09,11,9,9,9,6,2,1,0,0,3,2,0,0,0,0,0,2,0,0,0,0.222,0.222,0.333,0.555,0.014,107.8,LG
13,최승민,LF,0.08,27,6,6,6,9,1,0,0,0,1,0,8,4,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,-0.177,-38.3,LG
14,최원영,LF,0.06,5,2,2,2,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.104,176.2,LG
15,김주성,2B,0.02,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.297,-129.0,LG
16,최동환,P,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,LG
17,송찬의,RF,-0.02,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.328,-152.6,LG
18,허도환,C,-0.16,15,29,27,21,4,3,0,0,0,3,0,0,0,2,4,0,6,2,2,0,0.143,0.333,0.143,0.476,-0.073,45.5,LG
19,김태우,2B,-0.17,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,-0.309,-138.2,LG
20,손호영,3B,-0.21,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,-0.312,-140.8,LG
21,문보경,3B,-0.60,43,173,171,150,17,38,7,0,4,57,22,1,3,17,0,1,32,5,1,5,0.253,0.320,0.380,0.700,-0.017,84.1,LG
