Rank,Name,Position,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,Team
1,최원태,P,1.42,8,8,0,0,0,0,4,2,0,0,43.1,18,19,16.75,186,35,6,0,2,22,1,0,43,2,0,4,3.74,3.95,3.48,3.72,3.93,1.32,LG
2,손주영,P,1.15,8,8,0,0,0,0,2,2,0,0,39.0,14,17,17.00,172,43,6,0,5,16,2,0,29,5,0,1,3.23,3.92,3.92,4.12,5.31,1.51,LG
3,유영찬,P,0.89,20,0,20,16,0,0,4,1,10,0,21.0,4,4,6.75,90,19,3,0,1,6,1,0,27,2,1,0,1.71,1.71,2.89,3.08,2.60,1.19,LG
4,임찬규,P,0.85,9,8,1,0,0,0,0,3,0,1,42.0,23,24,22.95,186,52,15,1,5,16,0,1,45,0,0,1,4.93,5.14,4.92,5.20,4.06,1.62,LG
5,엔스,P,0.81,9,9,0,0,0,0,4,1,0,0,48.1,25,29,29.00,213,55,9,0,4,13,1,0,48,4,0,3,4.66,5.40,5.40,5.62,3.61,1.41,LG
6,김유영,P,0.50,17,0,17,4,0,0,1,0,1,3,19.1,7,10,7.40,82,16,4,0,0,6,1,0,20,4,0,1,3.26,4.66,3.44,3.57,2.75,1.14,LG
7,켈리,P,0.50,8,8,0,0,0,0,1,4,0,0,45.2,28,31,31.00,205,57,7,0,7,11,3,0,33,2,0,3,5.52,6.11,6.11,6.32,5.18,1.49,LG
8,김진성,P,0.47,20,0,20,1,0,0,1,1,0,8,18.1,5,5,8.45,85,17,5,0,1,9,5,2,19,0,0,1,2.45,2.45,4.15,4.28,4.64,1.42,LG
9,김대현,P,0.34,14,0,14,2,0,0,0,0,0,1,14.1,3,3,5.40,56,8,2,0,0,7,0,0,13,0,0,1,1.88,1.88,3.39,3.61,3.46,1.05,LG
10,최동환,P,0.32,9,0,9,4,0,0,0,1,0,2,9.2,2,3,3.00,39,7,3,0,0,3,0,0,6,1,0,0,1.86,2.79,2.79,2.99,3.63,1.03,LG
11,정우영,P,0.17,6,0,6,1,0,0,0,0,0,0,5.2,1,1,1.85,28,8,0,0,0,2,3,0,6,0,0,0,1.59,1.59,2.94,3.17,4.30,1.76,LG
12,이우찬,P,0.13,23,0,23,2,0,0,3,1,0,5,21.0,13,15,13.65,97,24,1,1,1,11,0,0,19,3,0,1,5.57,6.43,5.85,5.94,4.14,1.67,LG
13,우강훈,P,0.12,8,0,8,4,0,0,1,0,0,0,6.0,2,3,2.50,29,4,1,0,0,5,4,0,4,0,0,0,3.00,4.50,3.75,3.96,7.20,1.50,LG
14,윤호솔,P,0.10,7,0,7,2,0,0,0,0,0,0,4.1,2,2,1.65,24,4,0,0,0,8,0,0,5,0,0,0,4.15,4.15,3.43,3.63,7.05,2.77,LG
15,이종준,P,0.09,7,0,7,4,0,0,0,0,0,0,6.2,3,3,3.00,30,10,3,0,1,0,0,0,9,0,0,0,4.05,4.05,4.05,4.29,2.62,1.50,LG
16,이지강,P,0.05,7,0,7,0,0,0,1,1,0,0,10.0,8,8,5.95,47,11,0,0,1,5,0,0,5,1,0,1,7.20,7.20,5.36,5.71,5.70,1.60,LG
17,진우영,P,0.04,2,0,2,2,0,0,0,0,0,0,3.2,2,2,2.00,18,4,2,0,0,3,0,0,3,0,0,1,4.91,4.91,4.91,5.20,4.71,1.91,LG
18,백승현,P,-0.02,6,0,6,0,0,0,0,0,0,1,4.0,6,6,3.25,21,3,1,0,0,5,1,1,1,0,0,0,13.50,13.50,7.31,7.81,8.24,2.00,LG
19,정지헌,P,-0.03,1,0,1,0,0,0,0,0,0,0,0.2,2,2,2.20,5,1,0,0,0,1,1,0,0,0,0,0,27.00,27.00,29.70,32.03,13.51,3.00,LG
20,박명근,P,-0.05,19,0,19,1,0,0,1,1,1,5,15.2,8,8,11.25,74,17,2,0,4,6,2,0,7,2,0,0,4.60,4.60,6.46,6.88,7.72,1.47,LG
21,강효종,P,-0.05,1,1,0,0,0,0,0,0,0,0,1.1,3,3,3.00,9,2,0,0,1,3,0,0,2,0,0,0,20.25,20.25,20.25,18.72,16.36,3.75,LG
22,김윤식,P,-0.06,1,1,0,0,0,0,0,0,0,0,3.0,4,4,4.00,17,7,2,0,0,1,0,0,1,1,0,0,12.00,12.00,12.00,12.94,4.41,2.67,LG
23,김진수,P,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,LG
